importance_rank,feature,impurity_importance,importance_percentage
1,label_count,0.08540344867088115,8.540344867088114
2,title_length,0.07025747959833921,7.025747959833921
3,body_length,0.06762351775053857,6.762351775053857
4,log1p_body_word_count,0.06638265358715531,6.638265358715531
5,body_word_count,0.06462919279644683,6.462919279644683
6,log1p_body_length,0.0634045512451455,6.34045512451455
7,deletion_ratio,0.04921183138377435,4.921183138377435
8,created_hour_utc,0.03867997173374188,3.867997173374188
9,deletions,0.03299786358739622,3.2997863587396217
10,log1p_deletions,0.030151514369472544,3.0151514369472543
11,change_density_per_file,0.029995453143949816,2.9995453143949815
12,log1p_additions,0.027695287299161618,2.769528729916162
13,additions,0.027652230222414236,2.7652230222414236
14,total_changes,0.027503876787267047,2.7503876787267045
15,log1p_total_changes,0.027036554974003778,2.7036554974003777
16,files_modified,0.023500462446682708,2.350046244668271
17,created_day_of_week,0.02059782811440838,2.059782811440838
18,commit_count,0.018208617982573776,1.8208617982573776
19,log1p_commit_count,0.017706440198834585,1.7706440198834585
20,log1p_changed_files,0.01666184881317304,1.666184881317304
21,changed_files,0.016035755263961306,1.6035755263961307
22,file_records_returned,0.015603008193753301,1.56030081937533
23,iqr_outlier_feature_count,0.015478847783927968,1.5478847783927967
24,documentation_files_changed,0.013616650623348018,1.361665062334802
25,commit_count_iqr_outlier,0.01188192515107292,1.1881925151072918
26,has_documentation_changes,0.010885099049574328,1.0885099049574327
27,has_multiple_commits,0.010639281664774718,1.0639281664774718
28,has_detailed_description,0.009846942861626271,0.9846942861626271
29,short_title,0.008355514872713162,0.8355514872713162
30,body_word_count_iqr_outlier,0.008114969180493009,0.8114969180493009
31,very_long_description,0.005346351995619911,0.5346351995619911
32,body_length_iqr_outlier,0.005155427175781999,0.5155427175781999
33,files_modified_iqr_outlier,0.005147396379290477,0.5147396379290476
34,configuration_files_changed,0.0049172333500223245,0.4917233350022325
35,created_on_weekend,0.004912706948926404,0.49127069489264036
36,test_files_changed,0.004719752753440161,0.47197527534401607
37,deletions_iqr_outlier,0.004698315264055727,0.4698315264055727
38,has_any_iqr_outlier,0.004559034154826837,0.4559034154826837
39,has_configuration_changes,0.0045097101148794455,0.45097101148794455
40,has_description,0.003737495260200338,0.3737495260200338
41,configuration_files_changed_iqr_outlier,0.0036557834772257556,0.3655783477225756
42,has_test_changes,0.0034695252433285017,0.3469525243328502
43,test_files_changed_iqr_outlier,0.0034193005255425076,0.34193005255425074
44,documentation_files_changed_iqr_outlier,0.002188157948847577,0.2188157948847577
45,files_added,0.002051631735697019,0.20516317356970187
46,files_added_iqr_outlier,0.001764071734613804,0.17640717346138038
47,has_security_sensitive_changes,0.001577783080751318,0.15777830807513182
48,security_sensitive_files_changed_iqr_outlier,0.0015388728225276228,0.15388728225276227
49,total_changes_iqr_outlier,0.001529600298968807,0.1529600298968807
50,security_sensitive_files_changed,0.0013493390035528776,0.13493390035528777
51,additions_iqr_outlier,0.0010932191712676009,0.1093219171267601
52,changed_files_iqr_outlier,0.000910805842544996,0.0910805842544996
53,files_removed_iqr_outlier,0.0008331259319387091,0.08331259319387091
54,files_removed,0.0006475717876588578,0.06475717876588578
55,has_zero_code_change,0.0003281287379353815,0.03281287379353815
56,title_length_iqr_outlier,7.099357216110727e-05,0.007099357216110727
57,requested_reviewer_count_iqr_outlier,3.868436416913925e-05,0.003868436416913925
58,files_renamed,3.1294413594378596e-05,0.00312944135943786
59,files_renamed_iqr_outlier,2.744582740786179e-05,0.002744582740786179
60,requested_reviewer_count,1.2621732616914252e-05,0.0012621732616914252
61,draft,0.0,0.0
