review_priority,pr_count,average_priority_score,average_policy_score,average_merge_probability,average_delay_probability,delay_score_available_count,manual_review_count
Critical,83,64.07139879518071,80.02409638554217,0.5562376873024365,0.3591572285689109,49,83
High,83,47.39560963855421,55.71084337349398,0.5819210133943467,0.3322329587894202,47,83
Moderate,73,30.70874931506849,19.397260273972602,0.44577872718302197,0.8129781784739849,42,0
Routine,361,16.53024404432133,6.393351800554017,0.47890064810797855,0.29007413398261495,162,0
