prediction_outcome,row_count,average_confidence,minimum_confidence,maximum_confidence,average_merge_probability
true_positive,35,0.6758850968633972,0.5091051511028114,0.8715896634104938,0.6684159730390976
true_negative,32,0.7734736916130024,0.5752428177793716,0.9210976534602002,0.2265263083869976
false_positive,6,0.5908792877333156,0.5361217388149562,0.7082316483944465,0.5603729076113594
false_negative,3,0.7921057985332537,0.7391856390227811,0.8612165109514089,0.20789420146674623
