threshold,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision,log_loss,brier_score,true_negative,false_positive,false_negative,true_positive,predicted_positive_count,predicted_negative_count,model_name
0.55,0.8863636363636364,0.8728642199979779,0.7794117647058824,0.8412698412698413,0.8091603053435115,0.9272065514103731,0.8424684263612932,0.36360190214790916,0.10905905073407601,142,15,10,53,68,152,merge_delay_logistic_regression
0.525,0.9318181818181818,0.918966737438075,0.875,0.8888888888888888,0.8818897637795275,0.9789707815185522,0.9556817929901755,0.3052217762455081,0.08319423055989532,149,8,7,56,64,156,merge_delay_random_forest
