class_or_average,precision,recall,f1_score,support
Closed without merge,0.9142857142857143,0.8421052631578947,0.8767123287671232,38.0
Merged,0.8536585365853658,0.9210526315789473,0.8860759493670886,38.0
accuracy,,,0.881578947368421,76.0
macro avg,0.88397212543554,0.881578947368421,0.8813941390671058,76.0
weighted avg,0.8839721254355399,0.881578947368421,0.8813941390671058,76.0
