file_path,file_name,status,row_count,column_count,columns,pr_number_columns,contains_pr_number,duplicate_row_count,file_size_bytes
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\merge_outcome_percentile_summary.csv,merge_outcome_percentile_summary.csv,loaded,17,3,"['feature', 'percentile_99', 'records_above_99th_percentile']",[],False,0.0,664
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\merge_outcome_skewness_comparison.csv,merge_outcome_skewness_comparison.csv,loaded,6,5,"['original_feature', 'original_skewness', 'transformed_feature', 'transformed_skewness', 'absolute_skewness_reduction']",[],False,0.0,406
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\model1_all_validation_model_comparison.csv,model1_all_validation_model_comparison.csv,loaded,4,13,"['feature_set', 'model', 'threshold', 'accuracy', 'precision', 'recall', 'f1_score', 'roc_auc', 'accuracy_percentage', 'precision_percentage', 'recall_percentage', 'f1_score_percentage', 'roc_auc_percentage']",[],False,0.0,822
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\model1_final_test_metrics.csv,model1_final_test_metrics.csv,loaded,2,13,"['feature_set', 'model', 'threshold', 'accuracy', 'precision', 'recall', 'f1_score', 'roc_auc', 'accuracy_percentage', 'precision_percentage', 'recall_percentage', 'f1_score_percentage', 'roc_auc_percentage']",[],False,0.0,489
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\model1_snapshot_benchmark_features.csv,model1_snapshot_benchmark_features.csv,loaded,28,1,['feature'],[],False,0.0,590
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\model1_strict_early_features.csv,model1_strict_early_features.csv,loaded,12,1,['feature'],[],False,0.0,228
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\pallets_flask_pr_pilot_failures.csv,pallets_flask_pr_pilot_failures.csv,empty,0,0,[],[],False,0.0,2
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\snapshot_logistic_threshold_analysis.csv,snapshot_logistic_threshold_analysis.csv,loaded,13,5,"['threshold', 'accuracy', 'precision', 'recall', 'f1_score']",[],False,0.0,1071
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\snapshot_random_forest_metrics.csv,snapshot_random_forest_metrics.csv,loaded,2,6,"['dataset', 'accuracy', 'precision', 'recall', 'f1_score', 'roc_auc']",[],False,0.0,262
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\snapshot_random_forest_threshold_analysis.csv,snapshot_random_forest_threshold_analysis.csv,loaded,13,5,"['threshold', 'accuracy', 'precision', 'recall', 'f1_score']",[],False,0.0,1085
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_logistic_threshold_analysis.csv,strict_logistic_threshold_analysis.csv,loaded,13,5,"['threshold', 'accuracy', 'precision', 'recall', 'f1_score']",[],False,0.0,1072
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_logistic_validation_metrics.csv,strict_logistic_validation_metrics.csv,loaded,5,3,"['metric', 'score', 'score_percentage']",[],False,0.0,203
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_logistic_validation_predictions.csv,strict_logistic_validation_predictions.csv,loaded,84,8,"['pr_number', 'created_at', 'period', 'merge_target', 'outcome_label', 'merge_probability', 'predicted_target_default', 'predicted_target_selected_threshold']",['pr_number'],True,0.0,6811
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_high_confidence_errors.csv,strict_model_high_confidence_errors.csv,loaded,1,12,"['pr_number', 'title', 'created_at', 'period', 'merge_target', 'outcome_label', 'html_url', 'merge_probability', 'predicted_target', 'predicted_outcome', 'prediction_correct', 'prediction_confidence']",['pr_number'],True,0.0,419
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_test_classification_report.csv,strict_model_test_classification_report.csv,loaded,5,5,"['Unnamed: 0', 'precision', 'recall', 'f1-score', 'support']",[],False,0.0,425
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_test_confusion_matrix.csv,strict_model_test_confusion_matrix.csv,loaded,2,3,"['Unnamed: 0', 'Predicted Unmerged', 'Predicted Merged']",[],False,0.0,80
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_test_errors.csv,strict_model_test_errors.csv,loaded,2,11,"['pr_number', 'title', 'created_at', 'period', 'merge_target', 'outcome_label', 'html_url', 'merge_probability', 'predicted_target', 'predicted_outcome', 'prediction_correct']",['pr_number'],True,0.0,562
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_test_predictions.csv,strict_model_test_predictions.csv,loaded,76,12,"['pr_number', 'title', 'created_at', 'period', 'merge_target', 'outcome_label', 'html_url', 'merge_probability', 'predicted_target', 'predicted_outcome', 'prediction_correct', 'prediction_confidence']",['pr_number'],True,0.0,15394
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_model_validation_comparison.csv,strict_model_validation_comparison.csv,loaded,2,12,"['model', 'threshold', 'accuracy', 'precision', 'recall', 'f1_score', 'roc_auc', 'accuracy_percentage', 'precision_percentage', 'recall_percentage', 'f1_score_percentage', 'roc_auc_percentage']",[],False,0.0,451
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_random_forest_metrics.csv,strict_random_forest_metrics.csv,loaded,2,11,"['dataset', 'accuracy', 'precision', 'recall', 'f1_score', 'roc_auc', 'accuracy_percentage', 'precision_percentage', 'recall_percentage', 'f1_score_percentage', 'roc_auc_percentage']",[],False,0.0,420
C:\Users\sabih\OneDrive\Desktop\Courseworks\AI GitHub PR Intelligence\data\evaluation\strict_random_forest_threshold_analysis.csv,strict_random_forest_threshold_analysis.csv,loaded,13,5,"['threshold', 'accuracy', 'precision', 'recall', 'f1_score']",[],False,0.0,1071
