feature,correct_prediction_mean,incorrect_prediction_mean,incorrect_minus_correct,absolute_mean_difference
additions,2.929544830057707,-0.06016974387625537,-2.9897145739339623,2.9897145739339623
total_changes,1.8041277124483301,-0.06628189767093784,-1.870409610119268,1.870409610119268
files_added,1.607871281329337,-0.08342508117888693,-1.691296362508224,1.691296362508224
title_length,0.1582099444829404,0.9577783332916978,0.7995683888087575,0.7995683888087575
changed_files,0.7025572053317828,-0.06202466138417188,-0.7645818667159546,0.7645818667159546
file_records_returned,0.7025572053317828,-0.06202466138417188,-0.7645818667159546,0.7645818667159546
change_density_per_file,0.46610273045347855,0.045053220683123146,-0.4210495097703554,0.4210495097703554
files_removed,0.3052718904441648,-0.091354317587013,-0.3966262080311778,0.3966262080311778
created_day_of_week,0.3041093046756562,-0.08200685379059686,-0.3861161584662531,0.3861161584662531
log1p_commit_count,-0.08360286958987019,0.2807869716275938,0.364389841217464,0.364389841217464
files_renamed,0.29157480229463184,-0.0634651446698338,-0.3550399469644656,0.3550399469644656
deletions,0.280913217435827,-0.07406442297299275,-0.35497764040881974,0.35497764040881974
label_count,-0.3189609517968231,-0.6697505392372824,-0.35078958744045935,0.35078958744045935
has_documentation_changes,0.6417910447761194,0.3333333333333333,-0.30845771144278605,0.30845771144278605
log1p_total_changes,0.5130791103231996,0.20856447441788584,-0.3045146359053138,0.3045146359053138
log1p_changed_files,0.4225358162273442,0.14353780109161046,-0.27899801513573375,0.27899801513573375
created_on_weekend,0.3880597014925373,0.1111111111111111,-0.2769485903814262,0.2769485903814262
security_sensitive_files_changed,0.25365519277191223,-0.02295142261891496,-0.2766066153908272,0.2766066153908272
configuration_files_changed_iqr_outlier,0.208955223880597,0.4444444444444444,0.2354892205638474,0.2354892205638474
has_configuration_changes,0.208955223880597,0.4444444444444444,0.2354892205638474,0.2354892205638474
documentation_files_changed,0.08723278861741161,-0.12818941188568708,-0.21542220050309868,0.21542220050309868
created_hour_utc,-0.10458365479198539,0.09572350001073647,0.20030715480272188,0.20030715480272188
log1p_additions,0.48949152392126183,0.28933012885577875,-0.20016139506548308,0.20016139506548308
test_files_changed,0.1372235827722675,-0.04703061210252407,-0.18425419487479158,0.18425419487479158
iqr_outlier_feature_count,0.2617489149620249,0.44116679278166354,0.17941787781963864,0.17941787781963864
has_any_iqr_outlier,0.7910447761194029,0.6666666666666666,-0.12437810945273631,0.12437810945273631
commit_count_iqr_outlier,0.23880597014925373,0.3333333333333333,0.09452736318407959,0.09452736318407959
has_multiple_commits,0.23880597014925373,0.3333333333333333,0.09452736318407959,0.09452736318407959
title_length_iqr_outlier,0.029850746268656716,0.1111111111111111,0.08126036484245439,0.08126036484245439
short_title,0.07462686567164178,0.0,-0.07462686567164178,0.07462686567164178
files_added_iqr_outlier,0.1791044776119403,0.1111111111111111,-0.06799336650082918,0.06799336650082918
has_test_changes,0.26865671641791045,0.3333333333333333,0.06467661691542287,0.06467661691542287
test_files_changed_iqr_outlier,0.26865671641791045,0.3333333333333333,0.06467661691542287,0.06467661691542287
files_removed_iqr_outlier,0.05970149253731343,0.0,-0.05970149253731343,0.05970149253731343
files_modified_iqr_outlier,0.16417910447761194,0.2222222222222222,0.05804311774461027,0.05804311774461027
has_detailed_description,0.6119402985074627,0.5555555555555556,-0.056384742951907096,0.056384742951907096
log1p_body_length,0.1219722722776123,0.16984108357351582,0.04786881129590352,0.04786881129590352
files_modified,-0.041841949581569234,0.005852337373251563,0.047694286954820794,0.047694286954820794
has_description,0.9552238805970149,1.0,0.04477611940298509,0.04477611940298509
changed_files_iqr_outlier,0.14925373134328357,0.1111111111111111,-0.038142620232172464,0.038142620232172464
body_word_count,-0.0813057950156205,-0.11319319127760943,-0.03188739626198893,0.03188739626198893
files_renamed_iqr_outlier,0.029850746268656716,0.0,-0.029850746268656716,0.029850746268656716
log1p_body_word_count,0.1686211968153894,0.19413647461485006,0.025515277799460667,0.025515277799460667
configuration_files_changed,0.13792941216210566,0.1614215266833528,0.023492114521247137,0.023492114521247137
deletions_iqr_outlier,0.23880597014925373,0.2222222222222222,-0.016583747927031517,0.016583747927031517
body_length,-0.17220570254652437,-0.18817623336121805,-0.015970530814693684,0.015970530814693684
log1p_deletions,0.165789611971791,0.15033295398834906,-0.015456657983441952,0.015456657983441952
body_length_iqr_outlier,0.014925373134328358,0.0,-0.014925373134328358,0.014925373134328358
body_word_count_iqr_outlier,0.014925373134328358,0.0,-0.014925373134328358,0.014925373134328358
draft,0.014925373134328358,0.0,-0.014925373134328358,0.014925373134328358
very_long_description,0.014925373134328358,0.0,-0.014925373134328358,0.014925373134328358
total_changes_iqr_outlier,0.208955223880597,0.2222222222222222,0.013266998341625202,0.013266998341625202
commit_count,-0.07394594101245276,-0.06126378823466194,0.01268215277779082,0.01268215277779082
documentation_files_changed_iqr_outlier,0.11940298507462686,0.1111111111111111,-0.008291873963515758,0.008291873963515758
has_security_sensitive_changes,0.11940298507462686,0.1111111111111111,-0.008291873963515758,0.008291873963515758
security_sensitive_files_changed_iqr_outlier,0.11940298507462686,0.1111111111111111,-0.008291873963515758,0.008291873963515758
deletion_ratio,-0.21031218177882247,-0.21737573300604207,-0.0070635512272196055,0.0070635512272196055
additions_iqr_outlier,0.22388059701492538,0.2222222222222222,-0.0016583747927031711,0.0016583747927031711
has_zero_code_change,0.0,0.0,0.0,0.0
requested_reviewer_count,0.0,0.0,0.0,0.0
requested_reviewer_count_iqr_outlier,0.0,0.0,0.0,0.0
