confidence_band,prediction_count,correct_predictions,average_confidence,average_merge_probability,accuracy
50–60%,18,14,0.5476673796116921,0.5036141941708208,0.7777777777777778
60–70%,16,15,0.6574142774893375,0.4921314397959353,0.9375
70–80%,19,16,0.748867051193231,0.5347752722971059,0.8421052631578947
80–90%,21,20,0.8524346310186682,0.3500914007760634,0.9523809523809523
90–100%,2,2,0.9112435734656759,0.0887564265343241,1.0
