probability_band,prediction_count,observed_delay_rate,average_predicted_probability,correct_predictions,accuracy,calibration_gap
0–25%,15,0.06666666666666667,0.11558895985015334,14,0.9333333333333333,0.048922293183486676
25–50%,8,0.125,0.33343399055342127,7,0.875,0.20843399055342127
50–75%,1,0.0,0.5816602991020478,1,1.0,0.5816602991020478
75–100%,14,0.9285714285714286,0.915642633493011,13,0.9285714285714286,-0.012928795078417599
