lifecycle_band,total_prs,merged_prs,unmerged_prs,median_lifecycle_days,average_lifecycle_days,merge_rate_percent
Under 1 hour,281,130,151,0.0032291666666666666,0.008862898708316858,46.26
1-24 hours,137,59,78,0.16983796296296297,0.2497771357123547,43.07
1-7 days,58,38,20,2.4766261574074075,3.070463561621967,65.52
8-30 days,59,32,27,14.46883101851852,15.567135710922786,54.24
31-90 days,37,25,12,48.56460648148148,53.892860673173175,67.57
Over 90 days,28,16,12,139.0441898148148,179.45246403769843,57.14
