class,precision,recall,f1_score,support
not_delayed,0.9166666666666666,0.9565217391304348,0.9361702127659575,23.0
delayed,0.9285714285714286,0.8666666666666667,0.896551724137931,15.0
accuracy,0.9210526315789473,,,38.0
macro avg,0.9226190476190477,0.9115942028985508,0.9163609684519443,38.0
weighted avg,0.9213659147869674,0.9210526315789473,0.920531335675947,38.0
