pr_number,was_merged,split,draft,additions,deletions,total_changes,changed_files,commit_count,title_length,body_length,body_word_count,label_count,requested_reviewer_count,file_records_returned,test_files_changed,documentation_files_changed,configuration_files_changed,security_sensitive_files_changed,files_added,files_modified,files_removed,files_renamed,has_test_changes,has_documentation_changes,has_configuration_changes,has_security_sensitive_changes,commit_count_iqr_outlier,configuration_files_changed_iqr_outlier,test_files_changed_iqr_outlier,deletions_iqr_outlier,files_modified_iqr_outlier,additions_iqr_outlier,total_changes_iqr_outlier,body_length_iqr_outlier,body_word_count_iqr_outlier,files_added_iqr_outlier,changed_files_iqr_outlier,documentation_files_changed_iqr_outlier,security_sensitive_files_changed_iqr_outlier,files_removed_iqr_outlier,files_renamed_iqr_outlier,title_length_iqr_outlier,requested_reviewer_count_iqr_outlier,iqr_outlier_feature_count,has_any_iqr_outlier,log1p_body_length,log1p_body_word_count,log1p_additions,log1p_deletions,log1p_total_changes,log1p_changed_files,log1p_commit_count,has_description,has_detailed_description,short_title,very_long_description,change_density_per_file,deletion_ratio,has_zero_code_change,has_multiple_commits,created_day_of_week,created_hour_utc,created_on_weekend
3432,False,train,0.0,16.0,0.0,16.0,1.0,1.0,53.0,48.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8918202981106265,1.0986122886681098,2.833213344056216,0.0,2.833213344056216,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,0.0
3434,True,train,0.0,72.0,41.0,113.0,4.0,2.0,28.0,308.0,52.0,2.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.733341276897746,3.970291913552122,4.290459441148391,3.737669618283368,4.736198448394496,1.6094379124341005,1.0986122886681098,1.0,1.0,0.0,0.0,28.25,0.3628318584070796,0.0,1.0,0.0,20.0,0.0
3437,True,train,0.0,2.0,4.0,6.0,1.0,1.0,22.0,129.0,26.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.867534450455582,3.295836866004329,1.0986122886681098,1.6094379124341005,1.9459101490553128,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,6.0,0.6666666666666666,0.0,0.0,4.0,16.0,0.0
3456,True,train,0.0,15.0,0.0,15.0,3.0,2.0,62.0,573.0,91.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.352629396319567,4.5217885770490405,2.772588722239781,0.0,2.772588722239781,1.3862943611198906,1.0986122886681098,1.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,3.0,1.0,0.0
3458,False,train,0.0,5.0,1.0,6.0,2.0,1.0,82.0,531.0,83.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,6.2766434893416445,4.430816798843313,1.791759469228055,0.6931471805599453,1.9459101490553128,1.0986122886681098,0.6931471805599453,1.0,1.0,0.0,0.0,3.0,0.1666666666666666,0.0,0.0,6.0,14.0,1.0
3460,True,train,0.0,1.0,1.0,2.0,1.0,1.0,50.0,506.0,78.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.228511003591184,4.3694478524670215,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,4.0,7.0,0.0
3461,False,train,0.0,0.0,0.0,0.0,0.0,1.0,41.0,550.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.311734809152915,4.477336814478207,0.0,0.0,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,14.0,0.0
3467,False,train,0.0,0.0,0.0,0.0,0.0,1.0,41.0,550.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.311734809152915,4.477336814478207,0.0,0.0,0.0,0.0,0.6931471805599453,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0
3473,True,train,0.0,8.0,4.0,12.0,1.0,1.0,36.0,197.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.288267030694535,2.995732273553991,2.19722457733622,1.6094379124341005,2.5649493574615367,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,12.0,0.3333333333333333,0.0,0.0,2.0,15.0,0.0
3479,True,train,0.0,1.0,1.0,2.0,1.0,1.0,44.0,432.0,68.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.07073772800249,4.23410650459726,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,3.0,20.0,0.0
3483,False,train,0.0,3.0,0.0,3.0,1.0,1.0,18.0,276.0,50.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6240175061873385,3.9318256327243257,1.3862943611198906,0.0,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,23.0,0.0
3487,False,train,0.0,1.0,1.0,2.0,1.0,1.0,46.0,63.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.158883083359672,2.4849066497880004,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,4.0,11.0,0.0
3488,False,train,0.0,1.0,1.0,2.0,1.0,1.0,61.0,287.0,48.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.662960480135946,3.8918202981106265,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,4.0,12.0,0.0
3489,False,train,0.0,1.0,1.0,2.0,1.0,1.0,22.0,1152.0,134.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,7.050122520269059,4.90527477843843,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,2.0,0.5,0.0,0.0,4.0,12.0,0.0
3491,False,train,0.0,1.0,1.0,2.0,1.0,2.0,42.0,586.0,94.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,6.375024819828097,4.553876891600541,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,1.0986122886681098,1.0,1.0,0.0,0.0,2.0,0.5,0.0,1.0,5.0,10.0,1.0
3492,True,train,0.0,11.0,7.0,18.0,3.0,1.0,35.0,103.0,17.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.6443908991413725,2.8903717578961645,2.4849066497880004,2.079441541679836,2.9444389791664403,1.3862943611198906,0.6931471805599453,1.0,0.0,0.0,0.0,6.0,0.3888888888888889,0.0,0.0,0.0,0.0,0.0
3497,True,train,0.0,1.0,1.0,2.0,1.0,1.0,27.0,38.0,6.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.6635616461296463,1.9459101490553128,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,2.0,0.5,0.0,0.0,0.0,19.0,0.0
3507,False,train,0.0,0.0,54.0,54.0,2.0,1.0,36.0,405.0,47.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,6.0063531596017325,3.871201010907891,0.0,4.007333185232471,4.007333185232471,1.0986122886681098,0.6931471805599453,1.0,0.0,0.0,0.0,27.0,1.0,0.0,0.0,1.0,6.0,0.0
3510,False,train,0.0,11.0,11.0,22.0,1.0,1.0,21.0,532.0,85.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.278521424165844,4.454347296253507,2.4849066497880004,2.4849066497880004,3.1354942159291497,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,22.0,0.5,0.0,0.0,3.0,19.0,0.0
3517,True,train,0.0,1.0,1.0,2.0,1.0,1.0,8.0,532.0,85.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.278521424165844,4.454347296253507,0.6931471805599453,0.6931471805599453,1.0986122886681098,0.6931471805599453,0.6931471805599453,1.0,1.0,1.0,0.0,2.0,0.5,0.0,0.0,3.0,22.0,0.0
3524,True,train,0.0,0.0,3.0,3.0,1.0,1.0,39.0,987.0,120.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,6.895682697747868,4.795790545596741,0.0,1.3862943611198906,1.3862943611198906,0.6931471805599453,0.6931471805599453,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,18.0,0.0
3530,True,train,0.0,2.0,2.0,4.0,1.0,1.0,44.0,44.0,6.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.80666248977032,1.9459101490553128,1.0986122886681098,1.0986122886681098,1.6094379124341005,0.6931471805599453,0.6931471805599453,1.0,0.0,0.0,0.0,4.0,0.5,0.0,0.0,3.0,10.0,0.0
