pr_number,split,merge_delay_target,additions,additions_iqr_outlier,body_length,body_length_iqr_outlier,body_word_count,body_word_count_iqr_outlier,change_density_per_file,changed_files,changed_files_iqr_outlier,commit_count,commit_count_iqr_outlier,configuration_files_changed,configuration_files_changed_iqr_outlier,created_day_of_week,created_hour_utc,created_on_weekend,deletion_ratio,deletions,deletions_iqr_outlier,documentation_files_changed,documentation_files_changed_iqr_outlier,files_added,files_added_iqr_outlier,files_modified,files_modified_iqr_outlier,files_removed,files_removed_iqr_outlier,files_renamed,files_renamed_iqr_outlier,has_any_iqr_outlier,has_configuration_changes,has_description,has_detailed_description,has_documentation_changes,has_multiple_commits,has_security_sensitive_changes,has_test_changes,iqr_outlier_feature_count,label_count,log1p_additions,log1p_body_length,log1p_body_word_count,log1p_changed_files,log1p_commit_count,log1p_deletions,log1p_total_changes,requested_reviewer_count,requested_reviewer_count_iqr_outlier,security_sensitive_files_changed,security_sensitive_files_changed_iqr_outlier,short_title,test_files_changed,test_files_changed_iqr_outlier,title_length,title_length_iqr_outlier,total_changes,total_changes_iqr_outlier,very_long_description
3199,train,0,14,False,309,False,46,False,3.111111111111111,9,True,1,False,0,False,1,20,False,0.5,14,False,9,True,0,False,9,True,0,False,0,False,True,False,True,False,True,False,False,False,3,1,2.70805020110221,5.736572297479192,3.8501476017100575,2.302585092994046,0.6931471805599453,2.70805020110221,3.367295829986474,0,False,0,False,False,0,False,34,False,28,False,False
3230,train,0,3,False,0,False,0,False,3.0,1,False,1,False,1,True,4,12,False,0.0,0,False,0,False,0,False,1,False,0,False,0,False,True,True,False,False,False,False,False,False,1,0,1.3862943611198906,0.0,0.0,0.6931471805599453,0.6931471805599453,0.0,1.3862943611198906,0,False,0,False,False,0,False,58,False,3,False,False
3236,train,0,12,False,104,False,18,False,6.0,2,False,1,False,0,False,4,15,False,0.0,0,False,0,False,0,False,2,False,0,False,0,False,True,False,True,False,False,False,False,True,1,1,2.5649493574615367,4.653960350157523,2.9444389791664403,1.0986122886681098,0.6931471805599453,0.0,2.5649493574615367,0,False,0,False,False,1,True,47,False,12,False,False
3244,train,0,7,False,75,False,12,False,4.0,2,False,1,False,0,False,4,19,False,0.125,1,False,1,False,0,False,2,False,0,False,0,False,False,False,True,False,True,False,False,False,0,1,2.079441541679836,4.330733340286331,2.5649493574615367,1.0986122886681098,0.6931471805599453,0.6931471805599453,2.19722457733622,0,False,0,False,False,0,False,73,False,8,False,False
3260,train,0,26,False,737,False,122,False,26.0,1,False,2,True,0,False,2,13,False,0.0,0,False,1,False,0,False,1,False,0,False,0,False,True,False,True,True,True,True,False,False,1,1,3.295836866004329,6.6039438246004725,4.812184355372417,0.6931471805599453,1.0986122886681098,0.0,3.295836866004329,0,False,0,False,False,0,False,48,False,26,False,False
3274,train,0,1,False,0,False,0,False,2.0,1,False,1,False,0,False,6,9,True,0.5,1,False,0,False,0,False,1,False,0,False,0,False,False,False,False,False,False,False,False,False,0,1,0.6931471805599453,0.0,0.0,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,True,0,False,8,False,2,False,False
3278,train,0,57,True,213,False,33,False,13.666666666666666,6,False,1,False,0,False,0,14,False,0.3048780487804878,25,True,2,False,0,False,6,True,0,False,0,False,True,False,True,False,True,False,False,True,4,0,4.060443010546419,5.365976015021851,3.5263605246161616,1.9459101490553128,0.6931471805599453,3.258096538021482,4.418840607796598,0,False,0,False,False,3,True,46,False,82,False,False
3282,train,0,40,False,841,False,131,False,8.125,8,True,1,False,0,False,0,22,False,0.3846153846153846,25,True,4,True,0,False,8,True,0,False,0,False,True,False,True,True,True,False,False,True,5,1,3.713572066704308,6.735780014242327,4.882801922586371,2.19722457733622,0.6931471805599453,3.258096538021482,4.189654742026425,0,False,0,False,False,2,True,31,False,65,False,False
3290,train,0,8,False,122,False,22,False,18.0,1,False,2,True,0,False,6,19,True,0.5555555555555556,10,False,1,False,0,False,1,False,0,False,0,False,True,False,True,False,True,True,False,False,2,0,2.19722457733622,4.812184355372417,3.1354942159291497,0.6931471805599453,1.0986122886681098,2.3978952727983707,2.9444389791664403,0,False,0,False,False,0,False,79,True,18,False,False
3299,train,0,12,False,64,False,9,False,4.666666666666667,3,False,1,False,0,False,2,18,False,0.1428571428571428,2,False,1,False,0,False,3,False,0,False,0,False,False,False,True,False,True,False,False,False,0,2,2.5649493574615367,4.174387269895637,2.302585092994046,1.3862943611198906,0.6931471805599453,1.0986122886681098,2.70805020110221,0,False,0,False,False,0,False,26,False,14,False,False
3308,train,0,1,False,617,False,91,False,2.0,1,False,1,False,0,False,6,13,True,0.5,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,0,0.6931471805599453,6.42648845745769,4.5217885770490405,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,74,False,2,False,False
3321,train,0,3,False,85,False,12,False,4.0,1,False,1,False,0,False,3,14,False,0.25,1,False,1,False,0,False,1,False,0,False,0,False,False,False,True,False,True,False,False,False,0,0,1.3862943611198906,4.454347296253507,2.5649493574615367,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,0,False,0,False,False,0,False,34,False,4,False,False
3336,train,0,1,False,493,False,79,False,2.0,1,False,1,False,0,False,4,1,False,0.5,1,False,0,False,0,False,1,False,0,False,0,False,False,False,True,True,False,False,False,False,0,0,0.6931471805599453,6.202535517187923,4.382026634673881,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.0986122886681098,0,False,0,False,False,0,False,29,False,2,False,False
3344,train,1,3,False,482,False,87,False,4.0,1,False,1,False,0,False,2,22,False,0.25,1,False,1,False,0,False,1,False,0,False,0,False,True,False,True,True,True,False,False,False,1,1,1.3862943611198906,6.180016653652572,4.477336814478207,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.6094379124341005,0,False,0,False,False,0,False,24,False,4,False,False
3369,train,1,73,True,1703,False,232,False,26.0,3,False,1,False,0,False,6,11,True,0.0641025641025641,5,False,1,False,0,False,3,False,0,False,0,False,True,False,True,True,True,False,True,True,5,0,4.30406509320417,7.440733707389261,5.4510384535657,1.3862943611198906,0.6931471805599453,1.791759469228055,4.3694478524670215,0,False,1,True,False,1,True,89,True,78,False,False
3376,train,0,65,True,116,False,23,False,13.333333333333334,15,True,1,False,1,True,1,13,False,0.675,135,True,15,True,4,True,7,True,4,True,0,False,True,True,True,False,True,False,False,False,9,1,4.189654742026425,4.762173934797756,3.1780538303479458,2.772588722239781,0.6931471805599453,4.912654885736052,5.303304908059076,0,False,0,False,False,0,False,25,False,200,True,False
3381,train,1,2,False,491,False,77,False,4.0,1,False,1,False,0,False,5,22,True,0.5,2,False,1,False,0,False,1,False,0,False,0,False,False,False,True,True,True,False,False,False,0,1,1.0986122886681098,6.198478716492308,4.356708826689592,0.6931471805599453,0.6931471805599453,1.0986122886681098,1.6094379124341005,0,False,0,False,False,0,False,32,False,4,False,False
3382,train,0,2,False,91,False,11,False,4.0,1,False,4,True,0,False,6,17,True,0.5,2,False,1,False,0,False,1,False,0,False,0,False,True,False,True,False,True,True,False,False,1,0,1.0986122886681098,4.5217885770490405,2.4849066497880004,0.6931471805599453,1.6094379124341005,1.0986122886681098,1.6094379124341005,0,False,0,False,False,0,False,55,False,4,False,False
